Name,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl
UGC02905,59.25249999999999,16.52444444444444,5.83,12.17,15.76,1.0,0.6,292,62,10,Ir
UGC02684,50.098749999999995,17.294999999999998,6.49,13.46,16.29,1.95,0.5,350,72,10,Ir
UGC02716,51.029999999999994,17.754166666666663,6.4,11.5,14.64,1.58,0.56,381,57,8," "
Segue 2,34.81666666666666,20.175277777777776,0.03,11.36,16.2,5.4,0.85,-39,39,-3,Sph
UGC1561,31.02083333333333,24.207777777777775,7.2,11.83,14.51,2.34,0.86,606,34,9,BCD
NGC0855,33.51541666666666,27.87722222222222,9.73,9.83,13.3,3.09,0.38,591,85,0,dS0em
NGC1156,44.92666666666666,25.237499999999997,7.8,9.55,12.32,3.31,0.85,373,32,8," "
LV J0300+2546,45.16374999999999,25.78222222222222,7.8,14.5,18.1,0.35,0.87,308,33,10,Ir
AGC122226,41.66208333333333,27.726388888888884,8.56,14.25,17.08,0.85,0.55,472,67,9,BCD
DDO025,38.32583333333333,33.49111111111111,9.3,10.98,13.96,2.57,0.92,604,23,8," "
KKH18,45.774583333333325,33.69444444444444,4.43,13.56,16.7,0.71,0.57,216,65,10,Ir
UGC02773,53.02958333333333,47.793611111111105,5.4,9.77,15.0,1.2,0.75,216,47,9,Im
UGCA105,78.56291666666665,62.580833333333324,3.15,8.2,12.14,5.5,0.64,113,51,8," "
KK13,25.569999999999997,26.367777777777775,7.2,13.86,16.57,0.71,0.57,357,65,10,Ir
And XXII,21.916666666666664,28.090277777777775,0.79,14.4,18.8,1.4,0.44,-127,90,-3,Sph
KK16,28.83583333333333,27.954166666666662,5.47,13.68,16.3,1.32,0.37,207,90,10,Ir
KK15,26.67333333333333,26.801388888888884,7.2,15.54,18.22,0.59,0.33,366,90,10,Ir
IC1727,26.875416666666663,27.331111111111106,7.2,8.97,12.07,6.92,0.36,336,70,8," "
NGC0672,26.971666666666664,27.43361111111111,7.2,8.51,11.31,7.24,0.36,429,71,6," "
KK14,26.177916666666665,27.287777777777773,7.2,14.84,17.47,0.79,0.37,420,90,10,Ir
NGC0784,30.319999999999997,28.84361111111111,4.97,10.29,12.22,6.61,0.23,193,79,8," "
KK17,30.041249999999994,28.832499999999996,4.9,14.24,17.2,1.0,0.5,168,72,10,Ir
AGC112521,25.28291666666666,27.323888888888884,6.52,15.2,17.8,0.6,0.55,274,67,10,Ir
MESSIER033,23.461666666666662,30.66027777777777,0.85,4.1,6.27,69.18,0.61,-182,54,5," "
UGC01281,27.384583333333328,32.592499999999994,4.94,10.5,12.87,5.62,0.18,157,85,7," "
And XIV,12.895833333333332,29.69694444444444,0.73,12.56,16.9,2.7,0.68,-481,60,-3,Sph
And XVI,14.874166666666664,32.376666666666665,0.52,11.33,15.7,1.78,0.9,-385,31,-3,Sph
And II,19.124166666666664,33.41916666666666,0.65,10.75,15.1,2.82,0.8,-194,45,-3,Sph
NGC0404,17.36208333333333,35.717499999999994,3.05,7.53,11.21,3.47,0.95,-50,20,-1,S0em
And XXIII,22.34083333333333,38.718888888888884,0.73,10.74,15.1,7.3,0.6,-243,71,-3,Sph
UGC01703,33.232499999999995,32.814166666666665,4.19,12.52,17.0,0.79,0.55,,72,-2,Tr
d0226+3325,36.71999999999999,33.42694444444444,9.3,14.86,17.5,1.66,0.92,520,26,10,Ir
NGC0925,36.81666666666666,33.57805555555555,9.29,7.87,10.58,11.75,0.56,553,57,7," "
Halogas,36.83333333333333,33.95833333333333,9.3,15.35,18.0,0.43,0.75,528,47,10,Ir
DDO019,36.250833333333325,36.03777777777777,9.3,13.14,15.8,2.14,0.76,577,46,10,Ir
DDO022,38.224999999999994,38.68055555555555,9.3,13.11,15.65,1.74,0.31,570,90,10,Ir
DDO024,38.42916666666666,40.52805555555555,9.8,10.86,13.68,2.62,0.81,581,36,8," "
NGC0891,35.63666666666666,42.346666666666664,9.77,5.94,10.71,13.18,0.29,526,82,3," "
UGC02172,40.544999999999995,43.35527777777777,9.3,12.37,14.6,1.41,0.61,565,61,10,Ir
And XIII,12.962499999999999,33.00444444444444,0.84,13.78,18.2,1.3,0.75,-195,52,-3,Sph
Bol520,12.676666666666664,32.91638888888888,0.63,13.31,16.28,0.2,0.89,-312,33,-3,dE
And XI,11.583333333333332,33.80138888888889,0.73,14.08,18.5,1.1,0.85,-419,39,-3,Sph
And XII,11.862499999999999,34.37472222222222,0.83,14.15,18.7,1.9,0.9,-556,31,-3,Sph
And III,8.890833333333331,36.49777777777777,0.75,11.01,15.2,3.63,0.48,-346,90,-3,Sph
And I,11.416666666666664,38.03722222222222,0.73,9.59,13.9,2.88,0.78,-376,48,-3,Sph
And IV,10.625416666666665,40.57583333333333,6.31,14.54,17.18,1.0,0.77,237,45,10,Ir
MESSIER032,10.675416666666665,40.866388888888885,0.49,5.1,8.89,8.91,0.71,-202,53,-2,dEem
And XV,18.577916666666663,38.11749999999999,0.76,11.62,15.9,1.9,0.85,-323,39,-3,Sph
And IX,13.219999999999999,43.199999999999996,0.79,12.3,16.7,4.0,0.75,-216,52,-3,Sph
And X,16.640416666666663,44.804444444444435,0.63,12.1,16.7,2.1,0.56,-164,79,-3,Sph
MESSIER031,10.685416666666665,41.26916666666666,0.77,0.99,4.29,190.55,0.33,-296,78,3," "
NGC0205,10.093749999999998,41.686388888888885,0.82,5.59,8.72,19.5,0.61,-221,64,-2,dE
UGC00288,7.266666666666666,43.43166666666666,6.73,12.99,15.64,1.07,0.62,187,60,10,Ir
UGC00064,1.9333333333333331,40.87555555555555,9.6,12.84,15.5,1.66,0.56,305,66,10,Ir
And XVIII,0.5604166666666666,45.08888888888888,1.36,12.49,17.0,1.4,0.99,-332,10,-3,Sph
And XVII,9.279166666666665,44.322222222222216,0.74,13.31,17.7,1.9,0.8,-251,43,-2,Sph
And XXVII,9.362916666666665,45.38694444444444,0.83,13.19,17.6,2.8,0.6,-535,71,-3,Sph
And XXV,7.5370833333333325,46.851944444444435,0.81,11.42,15.9,4.8,0.75,-108,52,-3,Sph
NGC0185,9.741666666666665,48.3361111111111,0.61,6.56,9.99,12.3,0.85,-203,39,-3,dE
NGC0147,8.298333333333332,48.50777777777777,0.76,7.2,10.36,13.49,0.61,-193,70,-3,Sph
And XXX,9.145416666666666,49.64666666666666,0.68,,,,,-141,,," "
And XXVI,5.9399999999999995,47.91611111111111,0.76,13.88,18.4,1.6,0.75,-261,52,-3,Sph
And XXIV,19.624999999999996,46.3661111111111,0.6,12.78,17.2,3.3,0.75,-128,52,-3,Sph
And V,17.57125,47.62805555555555,0.81,11.33,15.92,2.4,0.82,-403,43,-3,Sph
KKH5,16.885416666666664,51.44027777777777,4.27,13.63,17.1,0.87,0.62,61,60,10,Ir
KKH6,23.714999999999996,52.09166666666666,3.73,13.73,17.0,0.87,0.6,60,62,10,Ir
IC0010,5.102083333333333,59.29166666666666,0.66,6.51,11.78,6.76,0.87,-346,33,10,Ir
KKH11,36.14583333333333,56.011666666666656,3.0,11.74,16.2,1.66,0.54,296,68,10,Ir
KKH12,36.8625,57.48777777777777,3.0,11.79,17.8,1.7,0.29,70,90,10,Ir
MB3,43.93166666666666,58.86166666666666,3.0,10.93,19.38,1.58,0.31,59,90,10,Ir
Dw1,44.23374999999999,58.91166666666666,2.8,5.17,15.01,2.0,0.65,112,52,3," "
Dw2,43.53541666666666,59.00527777777777,3.0,10.22,17.97,1.0,0.4,94,90,10,Ir
Maffei2,40.477083333333326,59.60305555555555,2.8,4.5,14.77,3.8,0.5,-15,63,4," "
MB1,38.898333333333326,59.37972222222221,3.0,10.46,17.8,1.07,0.42,190,87,10,Ir
Maffei1,39.14791666666666,59.654999999999994,3.01,5.55,13.47,2.69,0.85,66,39,-3," "
UGCA092,68.00124999999998,63.61388888888888,3.01,11.0,15.22,2.0,0.5,-95,72,10,Ir
NGC1569,67.70458333333332,64.84805555555555,3.06,7.5,11.79,3.98,0.51,-86,60,8," "
CamB,73.27874999999999,67.09916666666666,3.34,13.36,16.71,1.48,0.5,78,72,10,Ir
UGCA086,59.95624999999999,67.12527777777777,2.96,8.17,13.5,4.47,0.69,72,47,8," "
KK35,56.302499999999995,67.86388888888888,3.16,11.06,15.7,2.51,0.68,-66,54,10,Ir
IC0342,56.70374999999999,68.09583333333332,3.28,4.57,9.37,21.38,0.91,29,25,6," "
KKH34,89.92166666666665,73.4275,4.61,13.76,17.1,0.93,0.56,106,66,10,Ir
NGC1560,68.20791666666666,71.8811111111111,3.45,9.26,12.11,9.77,0.15,-36,90,7," "
CamA,66.315,72.80583333333333,3.93,11.64,14.84,3.72,0.57,-54,65,10,Ir
Cas1,31.53291666666666,69.00999999999999,3.3,9.34,15.29,2.19,0.77,35,45,10,Ir
KKH22,56.235833333333325,72.06444444444443,3.5,14.13,18.0,1.05,0.52,,70,10,Tr
KKH46,137.15249999999997,5.292222222222222,5.6,14.52,17.05,0.6,0.86,598,34,10,Ir
IC0559,146.18291666666664,9.615277777777777,9.4,12.52,14.98,1.32,0.74,541,48,9,BCD
